Trading Name,Trading Code,CCY,Underlying Benchmark,Close,Last,Chng %,Val ($M),Yield (%),TER (%),Documents,Fund Manager,TR 1M (%),TR 3M (%),TR 1Y (%),Ann. TR 1Y (%),Ann. TR 3Y (%),Asset Class,Geographical Focus,Income Treatment,Sustainability linked,Management Style,CPF Eligibility,SIP/EIP,Tick Size
SS SPDR STI ETF,ES3,SGD,Straits Times Index,5.424,5.485,1.125,9.850197549,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/905902c3e6e34aa81c22425fb3e7cb11_109976/MR_SG_en_SG1W45939194_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2022-08-16): https://api.fundinfo.com/document/cf0145b2fb9f797db3e6bb674a72d53c_761977/PR_SG_en_SG1W45939194_YES_2022-08-16.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,State Street Investment Management,1.2,4.29,30.69,30.5,20.92,Equities,Singapore,Distributing,No,PASSIVE,Yes,EIP,0.001
Lion-OCBC Sec HSTECH S$,HST,SGD,Hang Seng TECH Index,0.728,0.764,4.945,4.187436385,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/16b3a7174290b73a3aaccb25b0b168cf_172454/MR_SG_en_SGXC56627679_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/4ce765619de8835cbf68ed16a99d12c4_350058/AR_SG_en_SGXC56627679_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-11-12): https://api.fundinfo.com/document/2ced0da9a7484ee30ae0f9eec150acbe_618091/PR_SG_en_SGXC56627679_YES_2025-11-12.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/16f8d7d58fc8fa76db223287e9c76cbb_150263/SAR_SG_en_SGXC56627679_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2024-11-13): https://api.fundinfo.com/document/052a53e74047335be515e3a04c1cbe52_85200/PHS_SG_en_SGXC56627679_YES_2024-11-13.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,-2.97,-0.51,-7.23,-7.23,6.53,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
Amova Asia exJC S$,A93,SGD,MSCI AC Asia ex Japan ex China Index,1.782,1.732,-2.751,1.410100398,,,,Amova Asset Management Asia Limited,,,,,,Equities,Asia,Accumulating,No,PASSIVE,No,EIP,0.001
Lion-OSPL Low Carbon S$,ESG,SGD,iEdge-OCBC Singapore Low Carbon Select 40 Capped Index,1.422,1.424,-0.07,1.38171622,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/788aa3d1ed9be18c31b8e09f15244e6a_171735/MR_SG_en_SGXC60641310_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-03-20): https://api.fundinfo.com/document/f7e6e0cf0266425c622aa99529c61528_898534/PR_SG_en_SGXC60641310_YES_2026-03-20.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/ca9e859373366c857873692d37b3b299_654008/AR_SG_en_SGXC60641310_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/c0f90c0017c59132c7d776ecb05dd741_216990/SAR_SG_en_SGXC60641310_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-03-21): https://api.fundinfo.com/document/f41945e869889f8e14bcbdf00d95e9f7_88044/PHS_SG_en_SGXC60641310_YES_2025-03-21.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,0.14,-1.77,17.7,17.7,17.13,Equities,Singapore,Distributing,Yes,PASSIVE,No,EIP,0.001
A Lion Short Bond S$,SBO,SGD,3-month Singapore Overnight Rate Average (SORA) plus 0.35%,0.992,0.991,-0.101,1.282857219,,,,Lion Global Investors Limited,,,,,,Fixed Income,Global,Distributing,No,ACTIVE,No,EIP,0.001
Amova STI ETF S$D,G3B,SGD,Straits Times Index,5.45,5.5,0.917,0.955057336,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/96b2d29ea0f7b61afa0db860e31fe253_240922/MR_SG_en_SG1X52941694_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-03-17): https://api.fundinfo.com/document/2fcbf413dff2acb36b8386421bb17442_259869/PHS_SG_en_SG1X52941694_YES_2026-03-17.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-03-17): https://api.fundinfo.com/document/ce6a903fb344688907d7ccab872ffa00_1116965/PR_SG_en_SG1X52941694_YES_2026-03-17.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-12-31): https://api.fundinfo.com/document/1e0fda37e650f31c91fdb2f00d23c562_1151846/SAR_SG_en_SG1X52941694_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-06-30): https://api.fundinfo.com/document/06e0a22dc543eabfb0c5f807d55c4863_1293590/AR_SG_en_SG1X52941694_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,1.19,4.31,31.35,31.15,21.29,Equities,Singapore,Distributing,No,PASSIVE,Yes,EIP,0.001
A Lion Short Bond US$,SBV,USD,3-month Singapore Overnight Rate Average (SORA) plus 0.35%,0.767,0.763,-1.421,0.9541553,,,,Lion Global Investors Limited,,,,,,Fixed Income,Global,Distributing,No,ACTIVE,No,EIP,0.001
Amova Asia exJC USD,93U,USD,MSCI AC Asia ex Japan ex China Index,1.53,1.474,-8.504,0.7368,,,,Amova Asset Management Asia Limited,,,,,,Equities,Asia,Accumulating,No,PASSIVE,No,EIP,0.001
Amova Asia exJC US$,A94,USD,MSCI AC Asia ex Japan ex China Index,1.376,1.332,-4.585,0.68058,,,,Amova Asset Management Asia Limited,,,,,,Equities,Asia,Accumulating,No,PASSIVE,No,EIP,0.001
LION-PHILLIP S-REIT,CLR,SGD,Morningstar® Singapore REIT Yield Focus Index SM,0.828,0.83,0.242,0.580633649,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/9dae9ef1c265c0e1be976fbc47b8f61f_169385/MR_SG_en_SG1DJ3000008_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/8c672e614692ff782390567c3f1328a9_650958/AR_SG_en_SG1DJ3000008_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-08-22): https://api.fundinfo.com/document/83dc3bf936e894e716148bfda197fb5d_684998/PR_SG_en_SG1DJ3000008_YES_2025-08-22.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/ea5b5fe8564d0b7fcd4d5d7bdfa19896_169607/SAR_SG_en_SG1DJ3000008_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2024-08-23): https://api.fundinfo.com/document/4a54ebe6386bd74daf0977b922df7d6e_88981/PHS_SG_en_SG1DJ3000008_YES_2024-08-23.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,-0.97,0,8.83,8.83,1.02,REITs,Singapore,Distributing,No,PASSIVE,No,EIP,0.001
